,序号,类别代号,产品分类,产品名称,判定结果,不合格项目分类,不合格项目,不合格规范列,检测数值,法规限制,规格型号,商标,生产日期,生产企业名称,生产企业地址,生产省份代码,生产省份,抽样单位名称,抽样单位代码,抽样单位地址,通报时间,通报文号,通报单位,措施,来源链接,来源链接.1,检验项目,抽检代码,抽检级别,检验机构,标准,备注
0,1,5,食用油脂及其制品-->食用植物油,花生油,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,51.0μg/kg,≤20μg/kg,/,/,2022-11-17,湛江市麻章区满香花生加工店,湛江市麻章区志满二队,1,广东,湛江市麻章区满香花生加工店,1,湛江市麻章区志满二队,2023-03-06,湛江市市场监督管理局关于48批次食品不合格情况的通告,湛江市场监管局,,,http://zjamr.zhanjiang.gov.cn/zwdt/spypjg/content/post_1733308.html,,3,市抽,湛江市食品药品检验所,GB 2761-2017,生产
1,2,5,食用油脂及其制品-->食用植物油,散装花生油,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,153μg/kg,≤20μg/kg,散装,/,2022-10-06,/,,0,不详,东莞市塘厦鑫盛蛋品批发部,1,东莞市塘厦镇大坪社区林坪路3号大大综合市场A59補位,2023-02-21,2023年第15号,东莞市场监管局,对抽检中发现的不合格产品，东莞市市场监督管理局已要求相关生产经营者立即停止生产加工、销售、使用等措施控制风险，并依法予以查处。,,http://dgamr.dg.gov.cn/zdlyxxgk/spypaq/spypcjxx/content/post_3959715.html,,3,市抽,华测检测认证集团股份有限公司,GB 2761-2017,
2,3,5,食用油脂及其制品-->食用植物油,花生油,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,55.4μg/kg,≤20μg/kg,散装,/,2022-09-08,/,/,0,不详,东莞市横沥满斤粮油店,1,广东省东莞市横沥镇横沥城乡路10号1号楼121室,2023-02-21,2023年第15号,东莞市场监管局,对抽检中发现的不合格产品，东莞市市场监督管理局已要求相关生产经营者立即停止生产加工、销售、使用等措施控制风险，并依法予以查处。,,http://dgamr.dg.gov.cn/zdlyxxgk/spypaq/spypcjxx/content/post_3959715.html,,3,市抽,华测检测认证集团股份有限公司,GB 2761-2017,
3,4,5,食用油脂及其制品-->食用植物油,花生油,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,64.1μg/kg,≤20μg/kg,散装,/,2022-08-28,/,/,0,不详,东莞市黄江和昌粮油店,1,东莞市黄江镇社贝综合市场30-31号補,2023-02-20,2023年第14号,东莞市场监管局,对抽检中发现的不合格产品，东莞市市场监督管理局已要求相关经营者立即停止加工、销售等措施控制风险，并依法予以查处。,,http://dgamr.dg.gov.cn/zdlyxxgk/spypaq/spypcjxx/content/post_3959713.html,,3,市抽,华测检测认证集团股份有限公司,GB 2761-2017,
4,5,18,炒货及坚果制品-->坚果籽类,生花生米,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,初检结果：128μg/kg复检结果：51.8μg/kg,≤20,/,/,2022-11-06,/,/,0,不详,滨州市沾化区宜家生活百货超市,2,山东省滨州市沾化区富国街道办事处富桥路,2023-02-20,2023年第5期,山东市场监管局,对上述抽检中发现的不合格产品，当地市场监管部门已责令生产经营者查清产品流向，召回、下架不合格产品，控制风险，并分析原因进行整改，涉及的不合格产品已按要求开展核查处置工作。,http://news.foodmate.net/2023/02/654055.html,http://amr.shandong.gov.cn/art/2023/2/20/art_76551_10302570.html,,2,省抽,初检机构：青岛谱尼测试有限公司复检机构：山东省产品质量检验研究院/国家加工食品质量检验检测中心（山东）,GB 2761-2017,复检不合格
5,6,18,炒货及坚果制品-->坚果籽类,生花生米（生干坚果与籽类食品）,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,41.5μg/kg,20μg/kg,/,/,2022-10-15,/,/,0,不详,临清市佳乡蔬菜水果销售店,2,山东省聊城市临清市潘庄镇闫梭庄村轴乡阁小区大门口西商铺,2023-02-14,2023年第6期,聊城市场监管局,对抽检中发现的不合格产品，聊城市市场监督管理局已责令生产经营企业所在地市场监管部门查清产品流向，召回、下架不合格产品，控制风险，立案调查，并分析原因进行整改，涉及的不合格产品已按要求开展核查处置工作。,,http://scjdglj.liaocheng.gov.cn/xxgk_314/cjjggs/202302/t20230214_4244160.html,,3,市抽,聊城市产品质量监督检验所,GB 2761-2017,
6,7,18,炒货及坚果制品-->坚果籽类,生花生米（生干坚果与籽类食品）,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,102μg/kg,20μg/kg,/,/,2022-11-06,/,/,0,不详,莘县家豪百货超市,2,山东省聊城市莘县董杜庄镇山王庄村南头,2023-02-13,2023年第5期,聊城市场监管局,对抽检中发现的不合格产品，聊城市市场监督管理局已责令生产经营企业所在地市场监管部门查清产品流向，召回、下架不合格产品，控制风险，立案调查，并分析原因进行整改，涉及的不合格产品已按要求开展核查处置工作。,,http://scjdglj.liaocheng.gov.cn/xxgk_314/cjjggs/202302/t20230213_4243195.html,,3,市抽,聊城市产品质量监督检验所,GB 2761-2017,
7,8,18,炒货及坚果制品-->坚果籽类,生花生米（生干坚果及其籽类食品）,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,65.7μg/kg,20μg/kg,/,/,2022-11-09,/,/,0,不详,冠县便千佳连锁超市,2,山东省聊城市冠县兰沃乡大兰沃村909号,2023-02-09,2023年第4期,聊城市场监管局,对抽检中发现的不合格产品，聊城市市场监督管理局已责令生产经营企业所在地市场监管部门查清产品流向，召回、下架不合格产品，控制风险，立案调查，并分析原因进行整改，涉及的不合格产品已按要求开展核查处置工作。,,http://scjdglj.liaocheng.gov.cn/xxgk_314/cjjggs/202302/t20230209_4240929.html,,3,市抽,聊城市产品质量监督检验所,GB 2761-2017,
8,9,18,炒货及坚果制品-->坚果籽类,白沙花生米,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,41.5μg/kg,20μg/kg,/,/,2022-10-05,/,/,0,不详,莘县鑫丰源粮油店,2,山东省聊城市莘县东鲁街道办事处北市场,2023-02-09,2023年第4期,聊城市场监管局,对抽检中发现的不合格产品，聊城市市场监督管理局已责令生产经营企业所在地市场监管部门查清产品流向，召回、下架不合格产品，控制风险，立案调查，并分析原因进行整改，涉及的不合格产品已按要求开展核查处置工作。,,http://scjdglj.liaocheng.gov.cn/xxgk_314/cjjggs/202302/t20230209_4240929.html,,3,市抽,青岛谱尼测试有限公司,GB 2761-2017,
9,10,5,食用油脂及其制品-->食用植物油,花生油,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,35.0μg/kg,≤20,/,/,2022-05-22,新泰市东都镇鑫业油坊,山东省泰安市新泰市东都镇西都社区新都路南,2,山东,新泰市东都镇鑫业油坊,2,山东省泰安市新泰市东都镇西都社区新都路南,2023-02-09,2023年第3期,山东市场监管局,对上述抽检中发现的不合格产品，当地市场监管部门已责令生产经营者查清产品流向，召回、下架不合格产品，控制风险，并分析原因进行整改，涉及的不合格产品已按要求开展核查处置工作。,http://news.foodmate.net/2023/02/653122.html,http://amr.shandong.gov.cn/art/2023/2/9/art_76551_10302502.html,,2,省抽,泰安市食品药品检验检测研究院（泰安市纤维检验所）,GB 2761-2017,
10,11,18,炒货及坚果制品-->坚果籽类制品,炸花生,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,504μg/kg,≤20μg/kg,散装称重,/,2022-10-31,/,/,0,不详,普洱市天生祥超市,13,云南省普洱市思茅区茶城大道46号阳光新城91幢,2023-02-08,2023年第5期,云南市场监管局,对抽检中发现的不合格产品，企业所在地市场监管部门已依法开展核查处置，督促企业履行法定义务，采取下架召回不合格产品等措施及时控制风险，查明生产经营不合格产品的批次、数量和原因，对违法行为依法处理，核查处置工作完成后及时向社会公开。,http://news.foodmate.net/2023/02/653359.html,http://amr.yn.gov.cn/info/1030/30614.htm,,2,省抽,,GB 2761-2017,/
11,12,18,炒货及坚果制品-->坚果籽类,生干籽类(大花生米),不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,88.98μg/kg,≤20μg/kg,/,/,2022-12-09,/,/,0,不详,山西润一源贸易有限公司,20,太原市万柏林区西矿街253号窊流村村南山西九州世纪农副产品有限公司市场香蕉库3号,2023-02-03,2023年第4批,山西市场监管局,针对上述抽检中发现的不合格产品，我局已督导市级市场监管部门按照相关法律法规依法处理。消费者如果在市场上发现被通报的不合格食品，可拨打12315投诉举报。,http://news.foodmate.net/2023/02/652680.html,https://scjgj.shanxi.gov.cn/zwgk/jgfl/gstg/202302/t20230203_7915786.shtml,,2,省抽,山西省检验检测中心（山西省标准计量技术研究院）,GB 2761-2017,
12,13,31,餐饮环节产品-->其他餐饮环节产品,水煮花生,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,45.7μg/kg,≤20μg/kg,/,/,2022-09-17,/,/,4,河南,郑州蔡记餐饮管理有限责任公司,4,河南省郑州市中牟县广惠街街道天泽城二楼B-F2-025号,2023-02-02,2023年第5期,郑州市场监管局,郑州市市场监督管理局针对抽检发现的问题，已要求经济技术开发区、郑州航空港经济综合实验区、中牟县、管城回族区、郑东新区市场监管部门对涉及单位依法处理，责令其查清不合格产品的批次、数量、流向，召回不合格产品，采取下架等措施控制风险，分析原因进行整改，并对存在的违法行为依法查处。,,https://amr.zhengzhou.gov.cn/tzgg/6907526.jhtml,,3,市抽,河南宜测科技有限公司,GB 2761-2017,
